COLLCODE,COLL_NAME
2736,DR.N G P INSTITUTE OF TECHNOLOGY
2737,RANGANATHAN ENGINEERING COLLEGE
2738,SASURIE ACADEMY OF ENGINEERING
2739,SRI ESHWAR COLLEGE OF ENGINEERING
2740,HINDUSTHAN INSTITUTE OF TECHNOLOGY
2741,P A COLLEGE OF ENGINEERING AND TECHNOLOGY
2743,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING
2744,ADITHYA INSTITUTE OF TECHNOLOGY
2745,KATHIR COLLEGE OF ENGINEERING
2747,SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE
2748,SURYA ENGINEERING COLLEGE
2749,EASA COLLEGE OF ENGINEERING AND TECHNOLOGY
2750,KIT - KALAIGNAR KARUNANIDHI INSTITUTE OF TECHNOLOGY
2751,KGISL INSTITUTE OF TECHNOLOGY
2752,NANDHA COLLEGE OF TECHNOLOGY
2753,PPG INSTITUTE OF TECHNOLOGY
2754,SRI RAMANATHAN ENGINEERING COLLEGE
2755,NEHRU INSTITUTE OF TECHNOLOGY
2758,J K K MUNIRAJAH COLLEGE OF TECHNOLOGY
2761,UNITED INSTITUTE OF TECHNOLOGY
2762,JANSONS INSTITUTE OF TECHNOLOGY
2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY
2764,K P R INSTITUTE OF ENGINEERING AND TECHNOLOGY
2765,SRIGURU INSTITUTE OF TECHNOLOGY
2767,SRG ENGINEERING COLLEGE
2768,PARK COLLEGE OF TECHNOLOGY
2769,J C T COLLEGE OF ENGINEERING AND TECHNOLOGY
2770,STUDY WORLD COLLEGE OF ENGINEERING
2771,DR.NALLINI INSTITUTE OF ENGINEERING AND TECHNOLOGY
2772,C M S COLLEGE OF ENGINEERING AND TECHNOLOGY
2776,RVS TECHNICAL CAMPUS - COIMBATORE
3011,"UNIVERSITY COLLEGE OF ENGINEERING, TIRUCHIRAPPALLI"
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR"
3018,"UNIVERSITY COLLEGE OF ENGINEERING, THIRUKKUVALAI"
3019,"UNIVERSITY COLLEGE OF ENGINEERING, PANRUTI"
3021,"UNIVERSITY COLLEGE OF ENGINEERING, PATTUKKOTTAI"
3403,MAHALAKSHMI ENGINEERING COLLEGE
3410,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY
3425,C.K. COLLEGE OF ENGINEERING AND TECHNOLOGY
3454,SRI RAMAKRISHNA COLLEGE OF ENGINEERING
3456,K.S.K COLLEGE OF ENGINEERING AND TECHNOLOGY
3457,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING
